station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Kinmount House,55.01095443,-3.351411196,115596,35844,2025-05-24 02:00:00,11.2,11.2,20,66029010,1,169
Kirkcaldy,56.11765342,-3.147961765,335617,37680,2025-05-24 01:00:00,6.6,6.6,10,66173010,1,170
Kirkcowan,54.91691338,-4.612059475,115598,35848,2025-05-24 02:00:00,12,12,20,66030010,1,143
Kirkcudbright Raingauge,54.84543419,-4.038511682,504458,38202,2025-05-24 01:00:00,0,0,0,66239010,1,141
Kirkwall,58.98622363,-2.949352863,515885,38266,2025-05-24 01:00:00,0,0,0,66245010,1,130
Kirriemuir STW,56.65983513,-2.999773468,361048,37896,2025-05-24 01:00:00,4.6,4.6,5,66202010,1,15
Kirriereoch,55.15077902,-4.571934377,115599,35852,2025-05-24 02:00:00,17.4,17.4,20,66031010,1,56
Knockanrock,58.03118174,-5.07294078,115363,35668,2025-05-25 17:00:00,0.2,0.2,1,66000010,0,193
Ladyflat Farm,55.75636712,-2.369501202,368486,37934,2025-05-24 01:00:00,4.8,4.8,5,66209010,1,97
Lagafater Lodge,55.04328363,-4.913741812,115600,35856,2025-05-24 02:00:00,13.8,13.8,20,66032010,1,43
Lanark STW,55.67436394,-3.795938206,115603,35864,2025-05-24 02:00:00,8.2,8.2,10,66033010,1,222
Langwell Lodge,57.9748238,-5.100589967,354621,37844,2025-05-24 01:00:00,7.8,7.8,10,66197010,1,89
Lathro,56.2213192,-3.42872292,14902,36500,2025-05-26 09:00:00,14.2,14.2,20,66060010,0,34
Laxdale,57.86865846,-6.893581696,356217,37870,2025-05-24 01:00:00,16.8,16.8,20,66200010,1,228
Letham Grange,56.60403394,-2.609495534,338381,37788,2025-05-24 01:00:00,4.2,4.2,5,66188010,1,225
